"param_index","mean_tau_avg","mean_tau_sd","overall_sd_tau","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"1",0.480388769716101,0.224254422142373,1.53847074430188,-0.703419340773933,3.29469594211937,TRUE,TRUE,250
"10",0.503710792151649,0.260221620172962,1.53858257209511,-0.697134897402367,3.31310292985953,TRUE,TRUE,250
"100",0.531899476944768,0.291783207822358,1.55950950658638,-0.725130169142665,3.36548844830887,TRUE,TRUE,250
"1000",0.537892841461655,0.231880619115554,1.60956863912561,-0.716452757013637,3.48077378849406,TRUE,TRUE,250
"1001",0.533222249016752,0.223429843301896,1.52612393466008,-0.641416463362089,3.31853527143256,TRUE,TRUE,250
"1002",0.52830174753464,0.221599662999625,1.52269051993904,-0.617356776275135,3.31520528316254,TRUE,TRUE,250
"1003",0.537718984630632,0.219468614694849,1.50700478898058,-0.572925631755609,3.29957746262929,TRUE,TRUE,250
"1004",0.535056620073751,0.224024959621781,1.5060245691699,-0.575628941559149,3.29486788939826,TRUE,TRUE,250
"1005",0.537351097559168,0.222737603799065,1.5041877483156,-0.574050165159578,3.29242545365963,TRUE,TRUE,250
"1006",0.538311307543562,0.212506419582552,1.51606122300295,-0.586250084018457,3.31413721385162,TRUE,TRUE,250
"1007",0.545868166729803,0.200876859993275,1.51876356781955,-0.582971219975219,3.33144027448378,TRUE,TRUE,250
"1008",0.532020758763087,0.210454990277733,1.52651296427824,-0.590064327760671,3.33304429402523,TRUE,TRUE,250
"1009",0.545738848245101,0.210850370111897,1.52055963887739,-0.573216276475936,3.3348034920187,TRUE,TRUE,250
"101",0.534702150823855,0.28926395653647,1.55730807265448,-0.715794385536246,3.3658014864686,TRUE,TRUE,250
"1010",0.540225054170197,0.223301230495799,1.52012954178337,-0.569483153935694,3.33491084999346,TRUE,TRUE,250
"1011",0.534947465548632,0.2219109907261,1.50843042592514,-0.552988337282934,3.31306365481873,TRUE,TRUE,250
"1012",0.55131009627249,0.215026964731472,1.50543562725298,-0.554132458853628,3.32026307114533,TRUE,TRUE,250
"1013",0.548034521916776,0.223256803371966,1.51279825464645,-0.588625806798177,3.31987647145319,TRUE,TRUE,250
"1014",0.540719579609766,0.20777502230022,1.52689042506185,-0.606842114072012,3.34130627262086,TRUE,TRUE,250
"1015",0.547992113457857,0.218851981984311,1.52173826621056,-0.582472236934405,3.33574917582283,TRUE,TRUE,250
"1016",0.549472996295546,0.220388568162513,1.51516967307419,-0.596147085275982,3.32823519870524,TRUE,TRUE,250
"1017",0.545003760058884,0.214477871867373,1.51565946512629,-0.635189448981192,3.31542948764728,TRUE,TRUE,250
"1018",0.545160114315057,0.226031191258493,1.51781796207576,-0.642277444887125,3.31628101282523,TRUE,TRUE,250
"1019",0.541605515165721,0.218786269577264,1.51248117359904,-0.621055808127038,3.3037244258074,TRUE,TRUE,250
"102",0.543284628997119,0.295121519556604,1.54961283287602,-0.675312264015359,3.36837125858965,TRUE,TRUE,250
"1020",0.547201484745197,0.213848626738783,1.49807205765587,-0.57549031338158,3.28976360182646,TRUE,TRUE,250
"1021",0.533827372483269,0.205063440435742,1.49528684300027,-0.604039401637959,3.2715283527926,TRUE,TRUE,250
"1022",0.536335501271708,0.203989680446141,1.49345657306702,-0.596924682079953,3.26285348901035,TRUE,TRUE,250
"1023",0.51968097669627,0.214263559058874,1.50012545063519,-0.625772234968826,3.25782673424671,TRUE,TRUE,250
"1024",0.515010420461059,0.21318635148265,1.50072137392869,-0.651588846098227,3.24678665325681,TRUE,TRUE,250
"1025",0.500338943923335,0.232065421518282,1.49246939370202,-0.669335063227064,3.21908960515596,TRUE,TRUE,250
"1026",0.496759725911552,0.230794234565382,1.49731634208807,-0.687950203929793,3.21769009572226,TRUE,TRUE,250
"1027",0.499616065714445,0.221002114041759,1.50085115526358,-0.689000608448465,3.22455799234363,TRUE,TRUE,250
"1028",0.495457628584401,0.217711818229333,1.50202260291383,-0.689064242591779,3.23003463091515,TRUE,TRUE,250
"1029",0.492335937651289,0.218724105400325,1.50759505265235,-0.696814450448385,3.23158287944327,TRUE,TRUE,250
"103",0.541387958565999,0.288900401934982,1.55441821657936,-0.686980882589636,3.36891741780215,TRUE,TRUE,250
"1030",0.502191551500587,0.219752295284274,1.5074958660587,-0.722273260347233,3.2358228586372,TRUE,TRUE,250
"1031",0.510648755236122,0.220962680851528,1.49637760566691,-0.705737489184601,3.22291142100333,TRUE,TRUE,250
"1032",0.508698134588112,0.218315681752601,1.48545879683384,-0.673769605733256,3.19760135339213,TRUE,TRUE,250
"1033",0.510522530515744,0.236324420867843,1.48459878644,-0.671124368498119,3.19972981402732,TRUE,TRUE,250
"1034",0.508584061883589,0.242952918100013,1.48329653582517,-0.68087026725879,3.19583404940319,TRUE,TRUE,250
"1035",0.495880927509121,0.25232421279013,1.47974172820801,-0.676532947981431,3.17918105316435,TRUE,TRUE,250
"1036",0.493355843134869,0.252144511643383,1.48210985988764,-0.67377273510692,3.18206202350157,TRUE,TRUE,250
"1037",0.495448260860405,0.256759978858692,1.47436202412154,-0.654079479650699,3.17775998788791,TRUE,TRUE,250
"1038",0.505889803401914,0.264624370944605,1.47693362459047,-0.639006387460171,3.18932275878977,TRUE,TRUE,250
"1039",0.502500641563165,0.271096407984566,1.49024961889172,-0.659372722536305,3.21506075380496,TRUE,TRUE,250
"104",0.545705966594492,0.288236036684701,1.55039271412032,-0.695822581236922,3.36516445650089,TRUE,TRUE,250
"1040",0.514959858825035,0.280018101981323,1.50051429120562,-0.66386168416241,3.24187314642736,TRUE,TRUE,250
"1041",0.515027822612179,0.281757951886675,1.49426087471272,-0.676118827302083,3.22267122225392,TRUE,TRUE,250
"1042",0.524940397374678,0.280995750026093,1.50417787441667,-0.65276852885091,3.25712262936832,TRUE,TRUE,250
