"param_name","mean_beta_int_avg","mean_beta_int_sd","overall_sd_beta_int","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_int_1",0.0614626768488476,0.0851253607004469,0.503983517427557,-0.741637305849005,1.11172843193481,TRUE,FALSE,250
"beta_int_10",0.0705393967785004,0.073949653022144,0.517768426193898,-0.787392908502998,1.18185870843246,TRUE,FALSE,250
"beta_int_11",0.0546366604264304,0.0867211112103294,0.54816490867089,-0.890797773693682,1.13204397585038,TRUE,FALSE,250
"beta_int_12",0.073839299251852,0.0792049893868566,0.530892988079723,-0.808225700075893,1.20672980953477,TRUE,FALSE,250
"beta_int_13",0.0607559638989909,0.0716889826467691,0.536953066844587,-0.863458230359992,1.15000014611381,TRUE,FALSE,250
"beta_int_14",0.0795720129775084,0.0921852647706968,0.519400718178006,-0.755125983196633,1.16124902029462,TRUE,FALSE,250
"beta_int_15",0.0476968249468004,0.108154038353328,0.550893116659296,-0.891007153887419,1.15886154909121,TRUE,FALSE,250
"beta_int_16",0.0698999752384066,0.0897518792507522,0.520399693483856,-0.816788041033284,1.15530403312746,TRUE,FALSE,250
"beta_int_17",0.0673888078710447,0.0833483566553416,0.517052112559053,-0.803678372821186,1.13836077699465,TRUE,FALSE,250
"beta_int_18",0.0841788410927,0.0837502118768775,0.54719123520448,-0.746827542844977,1.2425792989057,TRUE,FALSE,250
"beta_int_19",0.076736638274966,0.0927912334961056,0.560345667041793,-0.840394578451777,1.21945734510511,TRUE,FALSE,250
"beta_int_2",0.0715075706508523,0.0857204423306389,0.507836686012353,-0.72339618477848,1.12648279002417,TRUE,FALSE,250
"beta_int_20",0.0838954284602863,0.0682105249136747,0.505736570368745,-0.738159586386273,1.14628092519268,TRUE,FALSE,250
"beta_int_21",0.0683358183285261,0.0728918089768499,0.505478562900819,-0.786806114445332,1.12802822797032,TRUE,FALSE,250
"beta_int_22",0.083701425629485,0.0697517054880168,0.512646414402808,-0.705359962299549,1.24220683105535,TRUE,FALSE,250
"beta_int_23",0.0823571265154878,0.0815694851488343,0.493385713614074,-0.674699532590504,1.13170521945937,TRUE,FALSE,250
"beta_int_24",0.0880195455283575,0.077983176213644,0.509404262774867,-0.705054355083037,1.19072245576364,TRUE,FALSE,250
"beta_int_25",0.0855194935415047,0.0987206875876485,0.524868570623903,-0.754290403728338,1.20894579310492,TRUE,FALSE,250
"beta_int_26",0.0865994871020988,0.0932432249794687,0.505439421230232,-0.675218705412296,1.19365263987639,TRUE,FALSE,250
"beta_int_27",0.0765198078872224,0.0962681780470415,0.512569611814212,-0.737729252862381,1.1749156813265,TRUE,FALSE,250
"beta_int_28",0.0651883785926677,0.0970959010587037,0.511096714257047,-0.799264512310495,1.12792941502587,TRUE,FALSE,250
"beta_int_3",0.0478880878561805,0.0865427552966318,0.522283321933661,-0.875150997860273,1.05834721642363,TRUE,FALSE,250
