"param_name","mean_beta_avg","mean_beta_sd","overall_sd_beta","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_3",0.0345398265513115,0.208010457312572,0.497036361141567,-0.573775315318928,0.749351783192755,TRUE,FALSE,250
"beta_4",0.0258071246912957,0.215515877623598,0.521320905849484,-0.619388399546845,0.767197830988579,TRUE,FALSE,250
"beta_5",0.00963215427362537,0.233999321305875,0.534071493915631,-0.657491559878288,0.744467437772626,TRUE,FALSE,250
"beta_6",0.00770424240363723,0.222135771315168,0.526195524215973,-0.656881820661506,0.749642841130482,TRUE,FALSE,250
"beta_7",-0.00317675648144662,0.23649951514796,0.540721403074045,-0.707753695775338,0.739887993453457,TRUE,FALSE,250
NA,0.00335707968481425,0.273523956472577,0.554570834001666,-0.721049086332383,0.752936584084827,TRUE,FALSE,250
"beta_1",-0.0547018789600184,0.190289403496539,0.437855791045632,-0.650251812293359,0.515179057233705,TRUE,FALSE,500
"beta_2",-0.0395887265942975,0.195611360994332,0.430073847541264,-0.615072914813864,0.52644391709485,TRUE,FALSE,500
"beta_3",-0.0344881120692812,0.193749291294562,0.417021428038718,-0.594245521991224,0.526575829622755,TRUE,FALSE,500
"beta_4",-0.0315208044183974,0.182956993663786,0.420432350134299,-0.591256386924382,0.529593620739089,TRUE,FALSE,500
"beta_5",-0.03322152577454,0.200810205537497,0.43778272342114,-0.632681594429222,0.53081056884439,TRUE,FALSE,500
"beta_6",-0.0273044337602561,0.202484074600827,0.454946738852856,-0.649916934427454,0.573262960793285,TRUE,FALSE,500
"beta_7",-0.0260578780078949,0.187940897017836,0.451137411585976,-0.641747448894453,0.568769257276371,TRUE,FALSE,500
NA,-0.00240312764329997,0.236101188952258,0.465023598882852,-0.618819861872772,0.613881606190061,TRUE,FALSE,500
"beta_1",-0.0224759812066557,0.205319198497368,0.399874768872994,-0.575190473962144,0.490673812690218,FALSE,TRUE,250
"beta_2",-0.0416875071560922,0.20349709357662,0.413237988050365,-0.625117446540421,0.478886286608905,FALSE,TRUE,250
"beta_3",-0.0427521462563344,0.193072047643851,0.41198440789563,-0.616736926670941,0.489091280273154,FALSE,TRUE,250
"beta_4",-0.03750695752739,0.210392846286026,0.430967659197818,-0.628808813786757,0.524268961530954,FALSE,TRUE,250
"beta_5",-0.036068684375081,0.204899598437416,0.41339516557671,-0.602775017360012,0.496735248545909,FALSE,TRUE,250
"beta_6",-0.0451358600692318,0.194478108187176,0.392952365847976,-0.604282097465808,0.447768859322822,FALSE,TRUE,250
"beta_7",-0.0436836780549267,0.184784067167961,0.394171314266113,-0.592200580102292,0.470290322803731,FALSE,TRUE,250
NA,-0.0216874624396959,0.201203526645542,0.410480762196481,-0.576215757150387,0.518188832784884,FALSE,TRUE,250
"beta_1",-0.000872542082406496,0.180006594452082,0.321413584590411,-0.415425020341807,0.439334046741044,FALSE,TRUE,500
"beta_2",0.00259661940467444,0.178745987329327,0.311873969305507,-0.407851656889887,0.419249376546721,FALSE,TRUE,500
"beta_3",0.00450638182890298,0.171076213704458,0.311349779469362,-0.412238745961597,0.421481459297971,FALSE,TRUE,500
"beta_4",-0.00816810234440992,0.167898912229952,0.306439182321009,-0.422902956832069,0.395612448546913,FALSE,TRUE,500
"beta_5",-0.000173251374211365,0.174364080074818,0.29852006657013,-0.408501362819062,0.39414969517939,FALSE,TRUE,500
"beta_6",0.00165877244831948,0.174281917245965,0.29442909667386,-0.397653372841192,0.397366001853784,FALSE,TRUE,500
"beta_7",0.000568880521697318,0.178106677221043,0.289270815273528,-0.392409543371442,0.373283211889017,FALSE,TRUE,500
NA,-0.00847308133605661,0.167897328821151,0.302037438829675,-0.410512557498556,0.389162617137003,FALSE,TRUE,500
"beta_1",-0.0511297382131159,0.205489045844034,0.410940628499403,-0.585636560948073,0.487837751768553,FALSE,FALSE,250
"beta_2",-0.0545839352813053,0.20674726476265,0.421732481788153,-0.609050216043422,0.494756231957145,FALSE,FALSE,250
